SUB_TYPE,FOLDER_DESCRIPTION,APPLICANT_ORGANIZATION,COMPANY_TYPES
Private Sound Amplification,"Amplified sound permit for 4-day event March 14-17, 2018.",47thriiifts,Retail
Outdoor Music Venue,Application to renew annual outdoor music venue permit.,"Stubb's Austin Restaurant Company, LC",Entertainment
Outdoor Music Venue,Application to renew annual Music Venue permit.,Micheladas LLC,Food Service
Outdoor Music Venue,,Copa Bar & Grill,Food Service
Advertising Sound Amplification,,Lifetime Fitness,Healthcare
Outdoor Music Venue,Application to renew annual music venue permit.,The Contemporary Austin,Non-profit/Charitable Organizations
Advertising Sound Amplification,Notification fee paid under SO-2010-0090M,Tiniest Bar in Texas,Food Service
Moving Vehicle,,Ionrepublic LLC,Entertainment
Outdoor Music Venue,Renewal OMV application,Heard Entertainment Texas  LLC,Entertainment
Outdoor Music Venue,Application to renew annual Outdoor Music Venue permit.,Soho House & Co,Hospitality
Outdoor Music Venue,notification fee paid under #12-009379,"AUSTIN SYMPHONY OCHESTRE SOCIETY, INC.",Non-profit/Charitable Organizations
Outdoor Music Venue,Applicant withdrew application to pursue temp permit.,THE FORT,Entertainment
Government Amplified Sound,Fundraiser for non-profit orginization,Chula League,Non-profit/Charitable Organizations
Advertising Sound Amplification,,Gypsy Lounge,Food Service
Outdoor Music Venue,Application for annual music venue permit. (location of former J Blacks venue located on 1st floor; below the ranch),Valhalla Esports Lounge,Entertainment
Advertising Sound Amplification,,Hewlett Packard Company,Technology
Advertising Sound Amplification,,The Campus Agency,Other
Outdoor Music Venue,,RED 7,Entertainment
Advertising Sound Amplification,,Papa Tino's,Food Service
Outdoor Music Venue,Application for annual music venue permit.,Dainty Dillo LLC,Other
Private Sound Amplification,,Kung Fu Saloon,Entertainment
Outdoor Music Venue,,Kebabalicious,Food Service
Outdoor Music Venue,Application to renew annual music venue permit.,Voodoo Room,Food Service
Outdoor Music Venue,Application to renew annual music venue permit.,The Aquarium on east 6th,Food Service
Outdoor Music Venue,Application to renew annual music venue permit.,Friends Bar,Food Service
Outdoor Music Venue,,"Beerland, LLC",Entertainment
Advertising Sound Amplification,,"Urban Infill Partnership, L.P.",Construction
Outdoor Music Venue,,Darwin's Pub,Food Service
Outdoor Music Venue,,PAPI TINO'S LLC,Food Service
Government Amplified Sound,,Downtown Austin Alliance,Non-profit/Charitable Organizations
Advertising Sound Amplification,,Austin Police Community Liaison Corporation,Non-profit/Charitable Organizations
Advertising Sound Amplification,,Waterloo Records & Video Inc,Retail
Private Sound Amplification,,Conjunctured Coworking,Other
Advertising Sound Amplification,,Hecho En Mexico,Food Service
Advertising Sound Amplification,Apparition Skateboards private party 04/22/2014.,Apparition Skateboard,Retail
Government Amplified Sound,,Leukemia & Lymphoma Society,Non-profit/Charitable Organizations
Outdoor Music Venue,,Lanai,Food Service
Outdoor Music Venue,,**MAIN,Unknown
Outdoor Music Venue,,Whip In,Food Service
Outdoor Music Venue,Application to renew annual music venue permit.,Bunkhouse Group,Hospitality
Concrete Pouring,,Burt-Watts,Construction
Outdoor Music Venue,Application to renew annual music venue permit.,RA Sushi,Food Service
Outdoor Music Venue,Application to renew annual Music Venue permit.,FBR Management,Other
Outdoor Music Venue,Renewal OMV application for B.D. Rileys Pub.,B.D. Riley's Pub,Food Service
Public Sound Amplification,,St. Vincent de Paul Stores of Austin/Freebirds Music,Non-profit/Charitable Organizations
Outdoor Music Venue,Application to renew annual music venue permit.,Mohawk,Entertainment
Government Amplified Sound,Benefit for HAAM,Health Alliance for Austin Musicians,Non-profit/Charitable Organizations
Advertising Sound Amplification,"Multi-day amplified sound permit for VICELAND event in portion of Carmelo's parking lot March 9-12, 2019.","Turnkey Dot, LLC",Other
Private Sound Amplification,,FRESAS CHICKEN AL CARBON LLC,Food Service
Private Sound Amplification,,JJG Sixth Group Inc. dba Union Park,Food Service
Advertising Sound Amplification,,New Creatures,Other
Outdoor Music Venue,,Bangers Sausage House & Beer Garden,Food Service
Outdoor Music Venue,,2905 Pearce Road LLC,Other
Advertising Sound Amplification,,Clive Bar Austin LLC,Food Service
Advertising Sound Amplification,,Weirdos,Retail
Outdoor Music Venue,Application to renew annual Music Venue permit.,Baby Acapulco Restaurants,Food Service
Advertising Sound Amplification,,Resplendent Hospitality,Other
Outdoor Music Venue,Application to renew annual music venue permit.,Mayfair Austin,Food Service
Outdoor Music Venue,,"Jovita's, Inc.",Food Service
Advertising Sound Amplification,,Hospira Inc,Healthcare
Outdoor Music Venue,Application to renew annual outdoor music venue permit.,Juliet Italian Kitchen,Food Service
Government Amplified Sound,,Austin Boys & Girls Club Foundation,Non-profit/Charitable Organizations
Government Amplified Sound,Permit for non-profit St Edwards University.,St Edwards Univ,Education
Private Sound Amplification,"Wedding reception featuring a live band at Westwood Country Club on June 27th, 2015.  Reception will take place on the deck above the boat marina with 10:00pm amplified sound cutoff time and sound limited to 75dBA.",Westwood Country Club,Entertainment
Outdoor Music Venue,,"Guero's Restaurant, Inc.",Food Service
Public Sound Amplification,"""Birdhouse""",The Birdhouse,Retail
Concrete Pouring,,"Capform, Inc",Construction
Advertising Sound Amplification,,"FAMSA, INC.",Non-profit/Charitable Organizations
Outdoor Music Venue,Application to renew OMV permit.,KEBABALICIOUS,Food Service
Outdoor Music Venue,Application to renew annual outdoor music venue permit.,Stubb's Bar-B-Q,Entertainment
Outdoor Music Venue,,"Freddy's On South First, Ltd",Food Service
Private Sound Amplification,,AAPC,Other
Advertising Sound Amplification,,Music Gym,Entertainment
Advertising Sound Amplification,,Austin American Stateman,Entertainment
Advertising Sound Amplification,,Shake Shack,Food Service
Private Sound Amplification,"Amplified sound permit for 4-day event March 13-16, 2025.",Cherrywood Coffee House,Food Service
Private Sound Amplification,"Single day amplified sound permit for Neighborhood Block Party event in Austin Baptist Church private parking lot on Friday, April 13, 2018.",Austin Baptist Church,Non-profit/Charitable Organizations
Outdoor Music Venue,,Afshin Inc,Other
Outdoor Music Venue,,"Little Woodrow's Holdings, Inc., DBA LITTLE WOODROWS",Food Service
Advertising Sound Amplification,"Sound permit for Lustre Pearl Rainey spring event in vacant lot March 9-17, 2018.",SLTBMF LLC,Other
Outdoor Music Venue,Application to renew annual OMV permit.,Cedar Street Courtyard,Food Service
Private Sound Amplification,"Single day amplified sound permit for Mighty Texas Dog Walk on Saturday, March 24th, 2018.",Roadway Productions,Entertainment
Advertising Sound Amplification,,Tiniest Bar In Texas,Food Service
Outdoor Music Venue,Application to renew annual music venue permit,Belmont Austin Beverage Company LLC,Entertainment
Private Sound Amplification,,Lightning Mfg.,Manufacturing
Advertising Sound Amplification,,Top Notch Burgers,Food Service
Outdoor Music Venue,,The Porch at Austin City Limits Live,Food Service
Outdoor Music Venue,,Chupacabra,Food Service
Advertising Sound Amplification,,Blue Starlite Mini-urban Drive-In,Entertainment
Concrete Pouring,"Type 2 permit needed for concrete installation during non-peak hours from 12:00am - 6:00am on Thursday, July 7th, 2022 unless delayed.  Sound level not to exceed 78dBA as measured 75ft from the source of sound.  Sound and Light management plan and confirmation from applicant that notification will be provided to surrounding property representatives as required.  On site supervisor / superintendent: Augi Sustaita 512-757-9059.",RSI Concrete,Construction
Outdoor Music Venue,,Beauty Bar,Food Service
Private Sound Amplification,"Amplified sound permit for small Makers Market event in portion of Texas Coffee Traders private property on Saturday, May 28th, 2022 from 10am - 1pm.",Texas Coffee Traders,Food Service
Outdoor Music Venue,,1530 Barton Springs LP,Other
Outdoor Music Venue,,LARRAND LLC DBA OILCAN HARRY'S,Food Service
Advertising Sound Amplification,,Giant Noise LLC,Other
Outdoor Music Venue,Application to renew annual music venue permit.,Pouring With Heart,Hospitality
Concrete Pouring,,JE Dunn Construction Company,Construction
Private Sound Amplification,"Single day sound permit for Chinatown Center's Day of the Dog Celebration on February 25, 2018.",CBJS CHINATOWN CENTER LLC,Other
Private Sound Amplification,"Single day amplified sound permit for Silverton Partners Annual Open House event on Thursday, November 9, 2017.",Silverton Management LLC,Finance
Outdoor Music Venue,Appling for Annual Outdoor Music Venue permit,JP SOUND,Entertainment
Outdoor Music Venue,,Scoot Inn-Austin LLC,Entertainment
Advertising Sound Amplification,,COAT & THAI HALLOWEEN BASH,Entertainment
Government Amplified Sound,"Amplified Sound Permit "" In Mammary of MOM""",IN Mammary of MOM,Non-profit/Charitable Organizations
Private Sound Amplification,"Amplified sound permit for multiday outdoor amplified sound at Kellys Irish Pub outdoor patio March 13-17, 2025.",Kellys Irish Pub,Food Service
Advertising Sound Amplification,,Tamale House East,Food Service
Advertising Sound Amplification,,The Original Hoffbrau Steakhouse,Food Service
Outdoor Music Venue,Application to renew annual OMV permit.,3XM Ventures LLC,Other
Outdoor Music Venue,Application to renew annual music venue permit.,Shakespeare's Pub,Food Service
Outdoor Music Venue,Application to renew annual music venue permit.,Shangri-La,Food Service
Advertising Sound Amplification,,Jack and Gingers,Food Service
Advertising Sound Amplification,,"Weird Times, LLC",Other
Advertising Sound Amplification,Single day amplified sound permit for Barley Bean by Mour grand opening on 09/22/2016.,Slutsky Mickel LLC,Food Service
Outdoor Music Venue,Application to renew annual outdoor music venue permit.,New Moon Group LLC DBA Reina,Food Service
Advertising Sound Amplification,,Jo's Coffee,Food Service
Advertising Sound Amplification,,The Gingerman,Food Service
Advertising Sound Amplification,"Multiday sound permit for event event March 11th - 14th, 2017.","Resonator Experience Agency, LLC",Other
Outdoor Music Venue,,"Shady Grove, Inc.",Food Service
Outdoor Music Venue,Application to renew annual OMV permit.,92 Rainey Group LLC,Other
Advertising Sound Amplification,"Single day amplified sound permit for LG TOUR outdoor event in portion of parking lot on Saturday, December 9th, 2017.","Coast to Coast Permits, LLC",Other
Advertising Sound Amplification,,www.weare78704.com,Unknown
Outdoor Music Venue,,1530 Barton Springs LLC,Other
Private Sound Amplification,Notification fee paid under #12-017401 entered as advertising instead of private party.,ATX Sounds,Entertainment
Private Sound Amplification,"Sound permit for 3 days of amplified sound at Zilker Brewing March 15-17, 2018.",Zilker Brewing Company,Food Service
Outdoor Music Venue,Application to renew annual OMV permit.,TEXAS AMP LTD DBA THE GINGER MAN,Food Service
Private Sound Amplification,"Single day amplified sound permit for event on October 21, 2017 at the Natural Gardener.",The Natural Gardener,Retail
Outdoor Music Venue,Application to renew annual OMV permit.,The Parlor Room,Food Service
Advertising Sound Amplification,,Club 1808,Entertainment
Advertising Sound Amplification,SXSW Official Event,PADRE,Food Service
Government Amplified Sound,Event benefiting Soldiers Angels,Soldiers Angels,Non-profit/Charitable Organizations
Private Sound Amplification,"Single day amplified sound permit for company party on Saturday, April 29th, 2017.",Surf LLC,Other
Outdoor Music Venue,,Rattle Inn Austin LLC,Food Service
Advertising Sound Amplification,,Oribit Salon LLC,Retail
Government Amplified Sound,,Horseshoe Lounge,Food Service
Advertising Sound Amplification,,HEAVY METAL BBQ,Food Service
Advertising Sound Amplification,,Big Red Sun Austin LLC,Retail
Government Amplified Sound,Event benefiting the Austin Film Society,Austin Film Society,Non-profit/Charitable Organizations
Outdoor Music Venue,Application to renew annual outdoor music venue permit.,"Uncle Billy's Taproom, LLC",Food Service
Outdoor Music Venue,Application for annual outdoor music venue permit.,Texmex Rainey LLC,Food Service
Advertising Sound Amplification,"Single day amplified sound permit for Birds Barbershop presents West Fest on Sunday, April 29, 2018.","Foster ATX, LLC",Entertainment
Advertising Sound Amplification,,Live Oak Brewing Company LC,Food Service
Public Sound Amplification,,Catellus Development Group,Finance
Private Sound Amplification,"Amplified sound permit for Latin American Cultural Showcase 2019 spring event March 14-16, 2019.",La Frenetika Music LLC,Entertainment
Government Amplified Sound,,Juvenile Diabetes Research Foundation,Non-profit/Charitable Organizations
Outdoor Music Venue,Application to renew annual music venue permit.,Rally in the Ally DBA Speakeasy,Entertainment
Government Amplified Sound,,Mother Egans Irish Pub,Food Service
Outdoor Music Venue,,Paggi Acquisition LLC,Food Service
Advertising Sound Amplification,"Amplified sound permit for 'Bud Light Dive Bar Tour' 2-day event March 14-15, 2019.",ENGINE SHOP II LLC,Other
Outdoor Music Venue,,The Upper Decks,Entertainment
Advertising Sound Amplification,,Budget Inn Motel,Hospitality
Outdoor Music Venue,,"Independent Bar Austin, LLC.",Food Service
Outdoor Music Venue,,Holy Mountain,Entertainment
Advertising Sound Amplification,,Texanza Coffee,Food Service
Outdoor Music Venue,,Curiosity That Killed The Cat Inc. DBA Taco X-Press,Food Service
Outdoor Music Venue,***VOID - SEE 2017-152330-SO*** Renewal OMV application for Moose Knuckle Pub.,411 First Floor Inc.,Other
Advertising Sound Amplification,Application withdrawn by applicant.,G & S Lounge,Food Service
Moving Vehicle,,JW Marriott Austin,Hospitality
Advertising Sound Amplification,,Equality Texas,Non-profit/Charitable Organizations
Outdoor Music Venue,Application to renew annual music venue permit.,"Heartfelt Hospitality, LLC. (Irene's)",Hospitality
Advertising Sound Amplification,,Flipnotics,Food Service
Advertising Sound Amplification,,Hahn Public Communications,Other
Government Amplified Sound,,Chinmaya Mission Austin,Non-profit/Charitable Organizations
Advertising Sound Amplification,,Sackman Enterprises,Finance
Advertising Sound Amplification,,"Stinger Promotions, Inc.",Other
Advertising Sound Amplification,,Bennett Consulting,Other
Outdoor Music Venue,,ACL Live,Entertainment
Outdoor Music Venue,,STUBB'S AUSTIN RESTAURANT COMPANY LC,Entertainment
Government Amplified Sound,Benifiting Austin Pets Alive***Created in error... See,Austin Pets Alive,Non-profit/Charitable Organizations
Concrete Pouring,,Balfour Beatty Construction,Construction
Private Sound Amplification,Concert,Event Production Services LLC,Entertainment
Private Sound Amplification,,RECLAIMED SPACE,Construction
Outdoor Music Venue,Application to renew annual outdoor music venue permit.,Image General Contracting,Construction
Outdoor Music Venue,,Spider House,Food Service
Advertising Sound Amplification,"Multi-day sound permit for 606 Courtyard Activation with amplified sound on March 11th, 14th, 16th, and 17th, 2017.",MKTG Inc,Other
Outdoor Music Venue,DENIED permit due to illegal venue - Code Violations - Application for annual music venue permit,Plaza Colombian Coffee,Food Service
Government Amplified Sound,Event for Religious Assembly use.,San Jose Catholic Church,Non-profit/Charitable Organizations
Private Sound Amplification,"Single day sound permit for private event on Thursday, October 12th, 2017.","LUNA SERVICES, LLC 360 VALET",Transportation
Outdoor Music Venue,,"LW Southpark, Inc -DBA LITTLE WOODROW'S SOUTHPARK",Food Service
Advertising Sound Amplification,,Stargayzer Events LLC,Entertainment
Advertising Sound Amplification,,Billy Reid,Fashion
Public Sound Amplification,,A Chance To Rock,Entertainment
Advertising Sound Amplification,,Ncompass International Inc,Other
Outdoor Music Venue,Changed to a multi-day permit #12-023171,THE GINGER MAN,Food Service
Outdoor Music Venue,Application to renew annual Outdoor Music Venue permit.,Jacoby Restaurant Group LLC,Food Service
Advertising Sound Amplification,,Hotel San Jose,Hospitality
Private Sound Amplification,,"C3 PRESENTS, LLC",Entertainment
Concrete Pouring,,JE Dunn Consturction,Construction
Concrete Pouring,"Type 2 permit needed for concrete installation during non-peak hours from 12:00am - 6:00am on Monday, September 23rd, 2019.  Sound level not to exceed 78dBA as measured 75ft from the source of sound.  Sound and Light management plan and evidence of notification to surrounding property representatives provided.  On site supervisor / superintendent: Carlos Hernandez (512)527-4852.  Applicant: Chris Neal (973)985-0739.  On site concrete placement contact: _______",Rogers  O'Brien Construction,Construction
Advertising Sound Amplification,"Single day sound permit for color run/walk event on March 12th, 2017.",Sankara Eye Foundation,Non-profit/Charitable Organizations
Outdoor Music Venue,Application to renew annual Music Venue permit.,Pursuit-Concepts,Other
Public Sound Amplification,"Single day sound permit for Austin Oyster Festival on February 24, 2018.",787 Productions LLC,Entertainment
Outdoor Music Venue,,"Beck & Bob's, LLC",Food Service
Government Amplified Sound,,Fuse Box Austin,Non-profit/Charitable Organizations
Advertising Sound Amplification,,Google Fiber Inc,Technology
Advertising Sound Amplification,,Billboard.com,Entertainment
Advertising Sound Amplification,,Univision,Entertainment
Private Sound Amplification,,Delfina Ortiz,Other
Advertising Sound Amplification,,Casa Chapala Mexican Grill,Food Service
Advertising Sound Amplification,,"Service Dogs, Inc",Non-profit/Charitable Organizations
Outdoor Music Venue,Application to renew annual music venue permit.,Woody's Brands LLC,Food Service
Government Amplified Sound,,Foundation Christian Ministries,Non-profit/Charitable Organizations
Private Sound Amplification,"Single day amplified sound permit for Sunday Funday Festival to benefit Austin Pets Alive on Sunday, June 3, 2018.","Day Cable Company, inc.",Technology
Private Sound Amplification,,Clink LLC,Other
Outdoor Music Venue,Application to renew annual Music Venue permit.,City of Austin - Austin Public Library,Education
Outdoor Music Venue,Venue underwent CHOW. New owner will reapply when ready to obtain permit.,MEAN-EYED CAT,Food Service
Government Amplified Sound,,Inglecia Evangelica El Remanente De Dios,Non-profit/Charitable Organizations
Advertising Sound Amplification,,GSD&M,Other
Outdoor Music Venue,,Beck and Bobs LLC,Food Service
Government Amplified Sound,,Six Cactus Productions,Entertainment
Outdoor Music Venue,Application to renew annual music venue permit.,Key Bar,Food Service
Concrete Pouring,"Type 2 permit needed for concrete installation during non-peak hours starting at 1:00am on Tuesday morning, May 31st, 2022 unless delayed.  Sound level not to exceed 78dBA as measured 75ft from the source of sound.  Sound and Light management plan and evidence of notification to surrounding property representatives provided.  On site supervisor Matt Luchak 832-244-3474 or Eugene Schultze 210-286-2707 or Stephen Mery 210-831-9712.","HC Beck, LTD.",Construction
Private Sound Amplification,"Single day amplified sound permit for Porsche 70th Anniversary private event in portion of Barton Creek Square Mall parking lot on Saturday, June 9, 2018.",Lee Tilford Agency,Other
Private Sound Amplification,"Single day amplified sound permit for annual Hillfest event on Friday, September 7, 2018.",St. Edwards Univ,Education
Outdoor Music Venue,Application to renew annual music venue permit.,"Rio Equity, LLC",Food Service
Government Amplified Sound,,Austin New Church,Non-profit/Charitable Organizations
Advertising Sound Amplification,,IRL Productions,Entertainment
Advertising Sound Amplification,SXSW Official,Complex,Entertainment
Advertising Sound Amplification,,Good Thyme Cafe,Food Service
Outdoor Music Venue,,Wonderland Austin,Retail
Advertising Sound Amplification,"Multi-day amplified sound permit for LIVE NATION event March 15th - 18th, 2017.",Live Nation,Entertainment
Private Sound Amplification,,Frontera Security And Investigation,Other
Outdoor Music Venue,Application to renew annual music venue permit.,Austin Eastciders,Food Service
Private Sound Amplification,Gallery Opening,KLEINMAN MICHAEL,Other
Outdoor Music Venue,,SHADY SEVEN LLC,Other
Outdoor Music Venue,Application to renew annual Outdoor Music Venue permit.,Pelons/508 - Austin LLC,Food Service
Outdoor Music Venue,,Circuit of the Americas LLC,Entertainment
Outdoor Music Venue,,The 311 Club,Entertainment
Private Sound Amplification,"Amplified sound permit for annual fall festival at St. Paul Catholic Church October 22-23, 2021",St. Paul Catholic Church,Non-profit/Charitable Organizations
Advertising Sound Amplification,,Metal Morgue Productions LLC,Entertainment
Advertising Sound Amplification,,Bangers Austin Lp,Food Service
Outdoor Music Venue,Application to renew annual music venue permit.,Mueller Master Community,Finance
Outdoor Music Venue,Application for annual music venue permit.,H-E-B,Retail
Public Sound Amplification,"Amplified sound permit for P & W spring event March 16-17, 2019 in lawn area of the Church on Congress.",CABC Ministry Investments Inc.,Non-profit/Charitable Organizations
Private Sound Amplification,,Butler Creative LLC DBA The Butler Bros.,Other
Private Sound Amplification,,Sustain Inc,Other
Outdoor Music Venue,Application for annual music venue permit.,Rock House Bar & Trailer Park,Food Service
Public Sound Amplification,"Amplified sound permit for Keep Austin Beautiful and Earth Day Austin events on April 14 & 29, 2018.",Keep Austin Beautiful Inc,Non-profit/Charitable Organizations
Private Sound Amplification,,1717 LTD,Other
Advertising Sound Amplification,"Single day amplified sound permit for King Pong Tournament event on Thursday November 10th, 2016.",Handsome,Technology
Government Amplified Sound,,Taco Deli,Food Service
Advertising Sound Amplification,,Sherbert Laughs Round 2,Entertainment
Concrete Pouring,Type 3 permit needed for concrete installation during non-peak hours from 11/20/2020 10:00pm -Saturday  11/20/20 unless delayed.  Sound level not to exceed 78dBA as measured 75ft from the source of sound.  Sound and Light management plan and evidence of notification to surrounding property representatives provided. On site Supervisor- Federico Jimenez  512-968-5116,Stewart Builders,Construction
Outdoor Music Venue,,Scoot Inn,Entertainment
Advertising Sound Amplification,,Simon Property Group,Finance
Outdoor Music Venue,,Michelada's,Food Service
Outdoor Music Venue,Application to renew annual outdoor music venue permit.,Electric Shuffle USA,Entertainment
Advertising Sound Amplification,,Old Pecan Enterprises Inc,Food Service
Advertising Sound Amplification,,Jaimes Partners LLC Spanish Village,Food Service
Advertising Sound Amplification,,UNIVERSAL CONSULTING GROUP,Other
Government Amplified Sound,Sound permit for non-profit Foundation Communities.,Foundation Communities,Non-profit/Charitable Organizations
Advertising Sound Amplification,,PUMA SOCIAL CLUB,Entertainment
Outdoor Music Venue,,Rooftop on Sixth LLC,Food Service
Private Sound Amplification,"Single day amplified sound permit for private company employee appreciation event on Thursday, May 10, 2018.",DHI Mortgage,Finance
Concrete Pouring,"Type 2 permit needed for concrete installation during non-peak hours from 1:00am to 7:00am on Saturday, August 28th, 2021 unless delayed.  Sound level shall not exceed 78dBA measured 75ft from source of sound.  Sound and Light Management plan and evidence of notification to surrounding property representatives provided.  On site supervisor / superintendent: Bill Purvis (512)822-7403 or (512)677-1726.","Flintco, LLC",Construction
Outdoor Music Venue,,Larrand,Food Service
Private Sound Amplification,,"Zoe's Texas , LLC.",Food Service
Outdoor Music Venue,,Annie's West,Food Service
Advertising Sound Amplification,,The Ginger Man,Food Service
Outdoor Music Venue,Application for annual outdoor music venue permit.,Cosmic Coffee and Beer Garden,Food Service
Government Amplified Sound,Event for Non-Profit No Mondays Productions Inc,A Television Experience Foundation,Entertainment
Outdoor Music Venue,Application to renew annual music venue permit.,"Corner West 3, LLC",Other
Outdoor Music Venue,Application for outdoor music venue permit.,Rosewood,Food Service
Private Sound Amplification,,Hot Rod Revolution,Entertainment
Advertising Sound Amplification,,Haymaker,Food Service
Outdoor Music Venue,,Baby Acapulco Mexican Restaurant,Food Service
Advertising Sound Amplification,,Casa Colombia,Food Service
Outdoor Music Venue,Formerly Gypsy Lounge; no change of ownership.,Beck and Bob's LLC,Food Service
Advertising Sound Amplification,,Next Level ACC,Other
Private Sound Amplification,"Amplified sound permit for Greater Then Distribution event March 9th-13th, 2025 in the plaza area north of the Austin Convention Center and south of Brush Square Park.",Greater Than Distribution,Entertainment
Outdoor Music Venue,Application to renew music venue permit,Recess Arcade Bar LLC,Entertainment
Outdoor Music Venue,,Austin Live Amphitheater,Entertainment
Outdoor Music Venue,,Revival Public House,Food Service
Government Amplified Sound,11th st in front of capital will use small battery operated sound system to amplify leaders of prayers,Catholic Diocese of Austin,Non-profit/Charitable Organizations
Advertising Sound Amplification,,Personal Adornments,Retail
Government Amplified Sound,,Ladies are Funny Festival,Entertainment
Outdoor Music Venue,,"Juniper, LTD dba Cedar Street Courtyard",Food Service
Outdoor Music Venue,Application to renew annual outdoor music venue permit.,Parlor & Yard LLC,Food Service
Advertising Sound Amplification,,American Youth Works,Non-profit/Charitable Organizations
Advertising Sound Amplification,,BFG Communications,Other
Advertising Sound Amplification,,Jasac Family Clothing,Retail
Advertising Sound Amplification,,Michelle Anthony,Other
Advertising Sound Amplification,,Jump On It Community Outreach,Non-profit/Charitable Organizations
Outdoor Music Venue,,The Gatsby,Entertainment
Advertising Sound Amplification,,The Michael Alan Group,Other
Outdoor Music Venue,Application for annual music venue permit.,The Rooftop on Sixth LLC,Food Service
Private Sound Amplification,"Multi-day amplified sound permit for YETI Music Showcase in Hyatt Regency lawn area near Barton Springs Road March 13-16, 2019.",YETI Coolers,Retail
Advertising Sound Amplification,Single day sound permit for Netspend BBQ cook-off event on 11/18/2016.,Netspend Corporation,Finance
Advertising Sound Amplification,,WeAre78704Com,Other
Advertising Sound Amplification,Official SXSW Event,InCharge Entertainment Marketing,Other
Outdoor Music Venue,,EGLI ENTERPRISES LLC,Other
Public Sound Amplification,,KUT Radio-UT Austin,Entertainment
Government Amplified Sound,Event benefiting Ronald McDonald House,"Bounce Marketing & Events, LLC",Other
Outdoor Music Venue,,Zed's Restaurant LP,Food Service
Outdoor Music Venue,Application to renew annual music venue permit.,Hangar Lounge,Food Service
Outdoor Music Venue,,Sixth Street Partners LLC DBA Lux Lounge,Food Service
Private Sound Amplification,,Rooster Teeth Production,Entertainment
Advertising Sound Amplification,,TMF X 4,Other
Outdoor Music Venue,,Austin Christian Fellowship,Non-profit/Charitable Organizations
Advertising Sound Amplification,,San Jose Partners LP,Hospitality
Advertising Sound Amplification,,FROST BANK PLAZA,Finance
Public Sound Amplification,,ACC JUNETEENTH CELEBRATION,Entertainment
Outdoor Music Venue,Application to renew annual music venue permit (previous venue name was Amped),Split Level LLC,Food Service
Advertising Sound Amplification,,CASH AMERICA PAWN AUSTIN #4,Finance
Advertising Sound Amplification,Roadway Productions,ROADWAY PRODUCTIONS,Entertainment
Private Sound Amplification,"Amplified sound permit for Antioch Easter Service / Concert in the field behind the church building.  Amplified sound dates & times: Friday 04/02/2021 noon - 4:00pm (rehearsal; 2 hours max of music), Saturday 04/03/2021 2:00pm - 4:00pm (rehearsal), Sunday 04/04/2021 10:00am - 12:00pm (service).",Antioch ATX,Non-profit/Charitable Organizations
Advertising Sound Amplification,,Mas Event Design,Other
Private Sound Amplification,"Single day amplified sound permit for Fairmont Grand Opening event on Friday, March 23rd, 2018.",Kennedy Creative Company,Other
Advertising Sound Amplification,,Wilson-Brown Productions Inc,Entertainment
Government Amplified Sound,,Austin Community Festival,Entertainment
Outdoor Music Venue,,MEC Austin Investors LP,Finance
Outdoor Music Venue,,Shady Grove Inc.,Food Service
Outdoor Music Venue,Application to renew annual music venue permit.,Opa Coffee & Wine Bar,Food Service
Advertising Sound Amplification,,"Creeky Gate, Inc. DBA Iron Gate Lounge",Food Service
Outdoor Music Venue,Application for Outdoor Music Venue Permit (indoor venue with open door when required by AFD).,"LE BRIT, INC",Food Service
Private Sound Amplification,,PANDORA ARTIST VILLAGE,Entertainment
Advertising Sound Amplification,,Greg Henry & Associates LLC,Other
Private Sound Amplification,"Single day amplified sound permit for 'Hi, How Are You?' Hot Luck event in portion of Franklin's BBQ private parking lot on Thursday, May 24, 2018.",Hot Luck Festival LLC,Entertainment
Outdoor Music Venue,,"Inland Western Austin Southpark Meadows II, L.P.",Finance
Advertising Sound Amplification,,Your Mom's Burger Bar,Food Service
Outdoor Music Venue,,411 First Floor Inc,Other
Outdoor Music Venue,,"East Inns, LLC",Hospitality
Advertising Sound Amplification,,Yellow Jacket Social Club,Food Service
Private Sound Amplification,"Amplified sound permit for anime and gaming convention on July 28-30th, 2023 in the plaza area north of the Austin Convention Center and south of Brush Square Park.",Dream Convention,Entertainment
Government Amplified Sound,,Crohn's & Colitis Foundation of America,Non-profit/Charitable Organizations
Private Sound Amplification,"Amplified sound permit for American Veterinary Medical Association temporary event on Friday, June 21st, 2024 from 11:00am - 2:00pm.",AVMA,Other
Advertising Sound Amplification,,Juan Pelota's,Food Service
Outdoor Music Venue,,"612 West 6th, LLC",Other
Private Sound Amplification,,LANCASTER WEDDING RECEPTION,Entertainment
Outdoor Music Venue,,C & J Ventures LLC,Other
Advertising Sound Amplification,,Austin Bouldering Project,Entertainment
Outdoor Music Venue,Application to renew annual OMV permit.,"SJMC Concepts, LLC.",Other
Private Sound Amplification,,Digital Realty Trust,Finance
Private Sound Amplification,Private party during ACL,Andrew Anderson,Other
Outdoor Music Venue,,THE BLACKHEART,Food Service
Advertising Sound Amplification,,"El Leon Cantina, Inc.",Food Service
Concrete Pouring,,"STI, LLC",Construction
Advertising Sound Amplification,,W2O Group,Other
Outdoor Music Venue,Application to renew annual Outdoor Music Venue permit.,WTF Icehouse,Food Service
Advertising Sound Amplification,,RightClark Production LLC,Entertainment
Outdoor Music Venue,,"HOSS Enterprises, Inc.",Other
